,Star Name,Distance,Mass,Radius
78,2MASSW J1036530-344138 [de],53.0,2.8064887200000007e-35,1.3461953e-12
79,2MASS J1047538+212423 [de],34.4,2.40556176e-35,1.3050901e-12
80,Luhman 16B,6.516,2.46283704e-35,1.4181294e-12
81,Luhman 16A,6.516,2.2910112000000003e-35,1.3975768e-12
82,DENIS-P J1058.7−1548,49.0,3.6656179200000004e-35,1.3770242e-12
83,TWA 28,180.0,2.0619100800000002e-35,3.3089686e-12
84,Cha 110913-773444,163.0,4.5820224000000004e-36,2.4971408999999997e-12
85,SDSS J111010.01+011613.1,63.0,5.1547752000000006e-36,1.7161421e-12
86,2MASS J11145133−2618235,18.2,1.89963012e-35,1.3256427e-12
87,TWA 26,137.0,1.7182584000000001e-35,3.0623374e-12
88,2MASS J11544223-3400390 [de],129.0,2.1096394800000002e-35,2.0860889e-12
89,2MASSW J1155395-372735 [de],31.0,3.6656179200000004e-35,1.3770242e-12
90,2MASS J12074836-3900043,217.0,9.736797600000001e-36,2.3738253e-12
91,2MASSI J1217110-031113 [de],36.0,2.40556176e-35,1.3050901e-12
92,2M 1237+6526,45.6,2.34828648e-35,1.3050901e-12
93,TWA 29,262.0,1.4223361200000003e-35,2.7746009999999997e-12
94,SDSSp J125453.90-012247.4 [de],38.0,2.69193816e-35,1.3564715999999999e-12
95,Kelu-1A,61.0,3.59879676e-35,1.3564715999999999e-12
96,Kelu-1B,61.0,3.3219662400000003e-35,1.3564715999999999e-12
97,2MASS J13204427+0409045,101.0,3.8374437600000004e-35,1.3975768e-12
98,SDSSp J132629.82-003831.5 [de],65.0,2.92103928e-35,1.3461953e-12
99,SDSSp J134646.45-003150.4 [de],48.0,2.51056644e-35,1.3050901e-12
100,2MASS J13595510-4034582,51.0,3.59879676e-35,1.3770242e-12
101,ULAS J141623.94+134836.3,29.7,1.8328089600000002e-35,1.3256427e-12
102,SDSS J141659.78+500626.4 [de],149.0,3.3792415200000003e-35,1.3667479e-12
103,DENIS-P J142527.97-365023.4 [de],38.0,1.20278088e-35,1.8291813999999997e-12
104,LHS 2924,38.5,4.3529212800000005e-35,1.4797871999999999e-12
105,2MASS J14392837+1929150,47.0,4.1142742800000006e-35,1.4284057e-12
106,LSPM J1440+1339,72.0,5.25977988e-35,1.6544843e-12
107,2MASS J14482563+1031590 [de],47.0,3.3792415200000003e-35,1.3667479e-12
108,CFBDSIR 1458+10A,104.0,6.348010199999999e-36,2.0860889e-12
109,CFBDSIR 1458+10B,104.0,5.1547752000000006e-36,1.7983525e-12
110,TVLM 513-46546,35.1,4.295646e-35,1.4695109e-12
111,2MASS 1503+2525,20.7,2.51056644e-35,1.3050901e-12
